Fairmont SS,vs,Montgomery Blair LT,Ivy Street RR 2025,R2,https://youtu.be/j_e80EVL5mg,Somaliland
Charlotte Latin BW,vs,Seven Lakes LL,Ivy Street RR 2025,R2,https://youtu.be/pTi4OjQJB9M,Somaliland
Nueva AH,vs,Fairmont TK,Ivy Street RR 2025,R2,https://youtu.be/TFgycDuhWl8,Somaliland
Nueva CG,vs,Blake CK,Ivy Street RR 2025,R2,https://youtu.be/DFmUWISC-24,Somaliland
Blake OR,vs,East Ridge MV,Ivy Street RR 2025,R2,https://youtu.be/yYSjSzIWgEw,Somaliland
Carrollton BZ,vs,Delbarton AX,Ivy Street RR 2025,R2,https://youtu.be/OnG2fWMI-7w,Somaliland
Blake OR,vs,Nueva AH,Ivy Street RR 2025,R1,https://youtu.be/6Afbr1sFfDk,Somaliland
Charlotte Latin BW,vs,Fairmont SS,Ivy Street RR 2025,R1,https://youtu.be/-leTxpz5Xl8,Somaliland
Carrollton BZ,vs,Fairmont TK,Ivy Street RR 2025,R1,https://youtu.be/fik20vZtJgE,Somaliland
Seven Lakes LL,vs,Nueva CG,Ivy Street RR 2025,R1,https://youtu.be/X8oCrb0YgyE,Somaliland
Montgomery Blair LT,vs,Blake CK,Ivy Street RR 2025,R1,https://youtu.be/k5fsOMcayqA,Somaliland
East Ridge MV,vs,Delbarton AX,Ivy Street RR 2025,R1,https://youtu.be/bwxq3-n5z-A,Somaliland
,,,,,,
HarkerCrest WL,vs,PotomAwty MZ,CSB 2025,Demo,https://youtu.be/alm3vmxuoys,Somaliland
,,,,,,
Strake GZ,vs,Blake CK,Glenbrooks 2024,Finals,https://youtu.be/sJd2z0fxvII,Taiwan Military Support
Fairmont KT,vs,Blake CK,Glenbrooks 2024,Semis,https://youtu.be/7Dk_uNbBdRg,Taiwan Military Support
BASIS Peoria GV,vs,Plano West KL,Glenbrooks 2024,Octos,https://youtu.be/J8ewTQcpG5o,Taiwan Military Support
Fairmont KT,vs,Flower Mound IM,Glenbrooks 2024,Doubles,https://youtu.be/be69E53FRTw,Taiwan Military Support
,,,,,,
Lake Highland SA,vs,Cary JR,Blue Key 2024,Semis,https://youtu.be/G2g_PY9YbWg,Taiwan Military Support
Palm Harbor ML,vs,Trinity Prep DD,Blue Key 2024,Quarters,https://youtu.be/4ZLzTwVc-Sc,Taiwan Military Support
,,,,,,
Strake SZ,vs,Montgomery Blair LT,Bronx 2024,Octos,https://www.youtube.com/watch?v=BiURhnWAX-A,Southern Border Surveillance
JR Masterman WE,vs,Millburn WC,Bronx 2024,Octos,https://youtu.be/dLqwPWgkXWU,Southern Border Surveillance
